,list_name,name,label,,no colon
72,TS_COMP,Eucalyptus-leucophloia,Eucalyptus leucophloia - Snappy Gum,,11
73,TS_COMP,Eucalyptus-limitaris,Eucalyptus limitaris - Halls Creek Box,,11
74,TS_COMP,Eucalyptus-microtheca,Eucalyptus microtheca - Coolibah,,11
75,TS_COMP,Eucalyptus-miniata,Eucalyptus miniata - Darwin Woollybutt,,11
76,TS_COMP,Eucalyptus-odontocarpa,Eucalyptus odontocarpa - Sturt Creek Mallee,,11
77,TS_COMP,Eucalyptus-oxymitra,Eucalyptus oxymitra - Blue Mallee,,11
78,TS_COMP,Eucalyptus-pachyphylla,Eucalyptus pachyphylla - Red Bud Mallee,,11
79,TS_COMP,Eucalyptus-patellaris,Eucalyptus patellaris - Weeping Box,,11
80,TS_COMP,Eucalyptus-phoenicea,Eucalyptus phoenicea - Scarlett Gum,,11
81,TS_COMP,Eucalyptus-pruinosa,Eucalyptus pruinosa - Silver Box,,11
82,TS_COMP,Eucalyptus-setosa,Eucalyptus setosa - Eucalyptus,,11
83,TS_COMP,Eucalyptus-sp.,Eucalyptus sp. - Gum Tree,,11
84,TS_COMP,Eucalyptus-tectifica,Eucalyptus tectifica - Grey Box,,11
85,TS_COMP,Eucalyptus-terminalis,Eucalyptus terminalis - Inland Bloodwood,,11
86,TS_COMP,Eucalyptus-tetrodonta,Eucalyptus tetrodonta - Darwin Stringybark,,11
87,TS_COMP,Eucalyptus-tintinnans,Eucalyptus tintinnans - Hills Salmon Gum,,11
88,TS_COMP,Eucalyptus-umbrawarrensis,Eucalyptus umbrawarrensis - Umbrawarra Gum,,11
89,TS_COMP,Eucalyptus-victrix,Eucalyptus victrix - Smooth-Barked Coolibah,,11
91,TS_COMP,Excoecaria-parvifolia,Excoecaria parvifolia - Gutta Percha,,11
92,TS_COMP,Ficus-scobina,Ficus scobina - Sandpaper Fig,,6
93,TS_COMP,Flueggea-virosa,Flueggea virosa - Dogwood,,9
94,TS_COMP,Gardenia-ewatii,Gardenia ewatii - Native Gardenia,,9
95,TS_COMP,Gardenia-megasperma,Gardenia megasperma - Gardenia,,9
