,list_name,name,label,,,,,,no colon
68,AG_COMP,Tripogon-loliiformis,Tripogon loliiformis - Five Minute Grass,,,,,,9
69,AG_COMP,Triraphis-mollis,Triraphis mollis - Purple Plume Grass,,,,,,10
70,AG_COMP,Yakirra-australiensis,Yakirra australiensis - Desert Flinders Grass,,,,,,8
71,AG_COMP,Yakirra-australiensis-australiensis,Yakirra australiensis australiensis - Desert Flinders Grass,,,,,,8
72,AG_COMP,Yakirra-majuscula,Yakirra majuscula - Annual Panic,,,,,,8
73,AG_COMP,other1,Other species 1,,,,,,no colon
74,AG_COMP,other2,Other species 2,,,,,,no colon
75,AG_COMP,other3,Other species 3,,,,,,no colon
76,AG_COMP,other4,Other species 4,,,,,,no colon
0,AG_NORTH,Aristida-contorta,Aristida contorta - Bunched Kerosene Grass,,,,,,9
1,AG_NORTH,Aristida-holathera,Aristida holathera - Erect Kerosene Grass,,,,,,9
2,AG_NORTH,Aristida-hygrometrica,Aristida hygrometrica - Kerosene Grass,,,,,,9
3,AG_NORTH,Brachiaria-holosericea,Brachiaria holosericea - Silkytop Armgrass,,,,,,11
4,AG_NORTH,Brachiaria-miliiformis,Brachiaria miliiformis - Armgrass Millet,,,,,,11
5,AG_NORTH,Brachiaria-pubigera,Brachiaria pubigera - Armgrass,,,,,,11
6,AG_NORTH,Brachiaria-subquadripara,Brachiaria subquadripara - Hairy Armgrass,,,,,,11
7,AG_NORTH,Brachyachne-convergens,Brachyachne convergens - Native Couch,,,,,,12
8,AG_NORTH,Cenchrus-basedowii,Cenchrus basedowii - Asbestos Grass,,,,,,9
9,AG_NORTH,Cenchrus-pedicellatus,Cenchrus pedicellatus - Annual Mission Grass,,,,,,9
10,AG_NORTH,Chionachne-hubbardiana,Chionachne hubbardiana - River Grass,,,,,,11
11,AG_NORTH,Chloris-pectinata,Chloris pectinata - Comb Windmill Grass,,,,,,8
12,AG_NORTH,Dactyloctenium-radulans,Dactyloctenium radulans - Button Grass,,,,,,15
13,AG_NORTH,Dichanthium-annulatum,Dichanthium annulatum - Annual Bluegrass,,,,,,12
14,AG_NORTH,Dichanthium-sericeum,Dichanthium sericeum - Annual Bluegrass,,,,,,12
15,AG_NORTH,Digitaria-bicornis,Digitaria bicornis - Finger Grass,,,,,,10
16,AG_NORTH,Digitaria-ciliaris,Digitaria ciliaris - Summer Grass,,,,,,10
